Kolera (cholera)|A00
forstyrrelse|F68.1
Andre spesifiserte forstyrrelser av voksen personlighet og atferd|F68.8
Uspesifisert forstyrrelse av voksen personlighet og atferd|F69
Lett psykisk utviklingshemming|F70
Psykisk utviklingshemming|F70-F79
Moderat psykisk utviklingshemming|F71
Alvorlig psykisk utviklingshemming|F72
Dyp psykisk utviklingshemming|F73
Annen psykisk utviklingshemming|F78
Uspesifisert psykisk utviklingshemming|F79
Spesifikke utviklingsforstyrrelser av tale og språk|F80
Utviklingsforstyrrelser|F80-F89
Spesifikk artikulasjonsforstyrrelse|F80.0
Ekspressiv språkforstyrrelse|F80.1
Impressiv språkforstyrrelse|F80.2
Ervervet afasi med epilepsi [Landau-Kleffners syndrom]|F80.3
Andre spesifiserte utviklingsforstyrrelser av tale og språk|F80.8
Uspesifisert utviklingsforstyrrelse av tale og språk|F80.9
Spesifikke utviklingsforstyrrelser av skoleferdigheter, lærevansker|F81
Spesifikk leseforstyrrelse|F81.0
Spesifikk staveforstyrrelse|F81.1
Spesifikk forstyrrelse i regneferdighet|F81.2
Blandet utviklingsforstyrrelse i skoleferdigheter|F81.3
Andre spesifiserte utviklingsforstyrrelser i skoleferdigheter|F81.8
Uspesifisert utviklingsforstyrrelse i skoleferdigheter|F81.9
Spesifikk utviklingsforstyrrelse i motoriske ferdigheter|F82
motorisk retardasjon|F82
Blandet utviklingsforstyrrelse i spesifikke ferdigheter|F83
Gjennomgripende utviklingsforstyrrelser|F84
Barneautisme|F84.0
Atypisk autisme|F84.1
Retts syndrom|F84.2
retts syndrom|F84.2
Annen disintegrativ forstyrrelse i barndommen|F84.3
Forstyrrelse med overaktivitet forbundet med psykisk utviklingshemming og bevegelsesstereotypier|F84.4
Aspergers syndrom|F84.5
aspergers syndrom|F84.5
Andre spesifiserte gjennomgripende utviklingsforstyrrelser|F84.8
Uspesifisert gjennomgripende utviklingsforstyrrelse|F84.9
Andre forstyrrelser av psykologisk utvikling|F88
Uspesifisert forstyrrelse av psykologisk utvikling|F89
Hyperkinetiske forstyrrelser|F90
addh|F90
adhd|F90
damp|F90
mbd|F90
Atferdsforstyrrelser og følelsesmessige forstyrrelser som vanligvis oppstår i barne- og ungdomsalder|F90-F98
Forstyrrelser av aktivitet og oppmerksomhet|F90.0
Hyperkinetisk atferdsforstyrrelse|F90.1
Andre spesifiserte hyperkinetiske forstyrrelser|F90.8
Uspesifisert hyperkinetisk forstyrrelse|F90.9
Atferdsforstyrrelser|F91
Atferdsforstyrrelser begrenset til familien|F91.0
grein|F91.0
Usosialisert atferdsforstyrrelse|F91.1
Sosialisert atferdsforstyrrelse|F91.2
skolevegring|F91.2
Opposisjonell atferdsforstyrrelse|F91.3
Andre spesifiserte atferdsforstyrrelser|F91.8
Uspesifisert atferdsforstyrrelse|F91.9
Blandede atferdsforstyrrelser og følelsesmessige forstyrrelser|F92
Depressiv atferdsforstyrrelse|F92.0
Andre spesifiserte blandede atferdsforstyrrelser og følelsesmessige forstyrrelser|F92.8
Uspesifisert blandet atferdsforstyrrelse og følelsesmessig forstyrrelse|F92.9
Følelsesmessige forstyrrelser oppstått i barndommen|F93
Separasjonsangst i barndommen|F93.0
Fobisk angstlidelse i barndommen|F93.1
Sosial angstlidelse i barndommen|F93.2
Overdreven søskenrivalisering, patologisk|F93.3
Andre spesifiserte følelsesmessige forstyrrelser i barndommen|F93.8
Uspesifisert følelsesmessig forstyrrelse i barndommen|F93.9
Forstyrrelse i sosial fungering med debut i barne- og ungdomsalder|F94
Elektiv mutisme|F94.0
Reaktiv tilknytningsforstyrrelse i barndommen|F94.1
Udiskriminerende tilknytningsforstyrrelse i barndommen|F94.2
Andre spesifiserte forstyrrelser av sosial fungering i barndommen|F94.8
Uspesifisert forstyrrelse av sosial fungering i barndommen|F94.9
«Tics»|F95
trekninger|F95
Forbigående «tics»|F95.0
kortvarig|F95.0
trekninger|F95.0
Kroniske motoriske eller vokale «tics»|F95.1
trekninger|F95.1
Kombinerte vokale og multiple motoriske «tics» Tourettes syndrom|F95.2
gilles de la tourettes syndrom|F95.2
tourettes syndrom|F95.2
trekninger|F95.2
Andre spesifiserte syndromer med «tics»|F95.8
trekninger|F95.8
Uspesifiserte «tics»|F95.9
trekninger|F95.9
Andre atferdsforstyrrelser og følelsesmessige forstyrrelser som vanligvis oppstår i barne- og ungdomsalder|F98
Ikke-organisk enuresis|F98.0
enurese|F98.0
Ikke-organisk enkoprese|F98.1
Spiseforstyrrelse i barndommen|F98.2
Pica i spedbarns- og barnealder|F98.3
Stereotype bevegelsesforstyrrelser|F98.4
Stamming|F98.5
Løpsk tale|F98.6
Andre spesifiserte atferdsforstyrrelser og følelsesmessige forstyrrelser som vanligvis oppstår i barne- og ungdomsalder|F98.8
Uspesifiserte atferdforstyrrelser og følelsesmessige forstyrrelser som vanligvis oppstår i barne- og ungdomsalder|F98.9
Uspesifisert psykisk lidelse|F99
lobotomert|F99
psyisk sykdom|F99
psykisk forstyrrelse|F99
psykisk insuffisiens|F99
psykisk lidesle|F99
psykisk syk|F99
psykiske plager|F99
Bakteriell meningitt , ikke klassifisert annet sted|G00
hjernehinnebetennelse|G00
Betennelsessykdommer i sentralnervesystemet|G00-G09
Sykdommer i nervesystemet|G00-G99
Hemofilusmeningitt|G00.0
hjernehinnebetennelse|G00.0
Pneumokokkmeningitt|G00.1
hjernehinnebetennelse|G00.1
pneumokokkmeningitt|G00.1
Streptokokkmeningitt|G00.2
hjernehinnebetennelse|G00.2
streptococc|G00.2
streptokokkmeningitt|G00.2
streptokokkmeningitt gruppe b|G00.2
Stafylokokkmeningitt|G00.3
hjernehinnebetennelse|G00.3
stafylococc|G00.3
Annen spesifisert bakteriell meningitt|G00.8
hjernehinnebetennelse|G00.8
Uspesifisert bakteriell meningitt|G00.9
bakteriell hjernehinnebetennelse|G00.9
bakteriell meningitt|G00.9
hjernehinnebetennelse|G00.9
purulent hjernehinnebetennelse|G00.9
purulent menigitt|G00.9
purulent meningitt|G00.9
pyogen hjernehinnebetennelse|G00.9
pyogen meningitt|G00.9
Meningitt ved bakteriesykdommer klassifisert annet sted|G01 *
hjernehinnebetennelse|G01 *
Meningitt ved andre infeksjons- og parasittsykdommer klassifisert annet sted|G02 *
hjernehinnebetennelse|G02 *
Meningitt ved virussykdommer klassifisert annet sted|G02.0 *
hjernehinnebetennelse|G02.0 *
Meningitt ved soppsykdommer|G02.1 *
hjernehinnebetennelse|G02.1 *
mykose|G02.1 *
Meningitt ved andre spesifiserte infeksjons- og parasittsykdommer klassifisert annet sted|G02.8 *
hjernehinnebetennelse|G02.8 *
Meningitt som har andre og uspesifiserte årsaker|G03
hjernehinnebetennelse|G03
Ikke-pyogen meningitt|G03.0
aseptisk hjernehinnebetennelse|G03.0
hjernehinnebetennelse|G03.0
ikke-bakteriell meningitt|G03.0
ikke-pyogen meningitt|G03.0
Kronisk meningitt|G03.1
hjernehinnebetennelse|G03.1
Godartet tilbakevendende meningitt [Mollaret]|G03.2
hjernehinnebetennelse|G03.2
residiverende|G03.2
Meningitt som har andre spesifiserte årsaker|G03.8
hjernehinnebetennelse|G03.8
Uspesifisert meningitt|G03.9
araknoiditt|G03.9
hjernehinnebetennelse|G03.9
meningitt|G03.9
meningoradikulitt|G03.9
Encefalitt , myelitt  og encefalomyelitt|G04
betennelse i hjerne|G04
betennelse i hjerne og ryggmarg|G04
encephalitis|G04
encephalomyelitis|G04
hjernebetennelse|G04
myelitis|G04
ryggmargsbetennelse|G04
Akutt disseminert encefalitt|G04.0
betennelse i hjerne|G04.0
encephalitis|G04.0
hjernebetennelse|G04.0
Tropisk spastisk paraplegi|G04.1
Bakteriell meningoencefalitt og meningomyelitt, ikke klassifisert annet sted|G04.2
betennelse i hjerne|G04.2
encephalitis|G04.2
hjernebetennelse|G04.2
myelitis|G04.2
ryggmargsbetennelse|G04.2
Annen spesifisert encefalitt, myelitt og encefalomyelitt|G04.8
betennelse i hjerne|G04.8
betennelse i hjerne og ryggmarg|G04.8
encephalitis|G04.8
encephalomyelitis|G04.8
hjernebetennelse|G04.8
myelitis|G04.8
ryggmargsbetennelse|G04.8
Uspesifisert encefalitt, myelitt og encefalomyelitt|G04.9
betennelse i hjerne|G04.9
betennelse i hjerne og ryggmarg|G04.9
encefalitt|G04.9
encephalitis|G04.9
encephalomyelitis|G04.9
hjernebetennelse|G04.9
meningoencefalitt|G04.9
myelitis|G04.9
ryggmargsbetennelse|G04.9
Encefalitt , myelitt  og encefalomyelitt  ved sykdommer klassifisert annet sted|G05 *
betennelse i hjerne|G05 *
betennelse i hjerne og ryggmarg|G05 *
encephalitis|G05 *
encephalomyelitis|G05 *
hjernebetennelse|G05 *
myelitis|G05 *
ryggmargsbetennelse|G05 *
Encefalitt, myelitt og encefalomyelitt ved bakteriesykdommer klassifisert annet sted|G05.0 *
betennelse i hjerne|G05.0 *
betennelse i hjerne og ryggmarg|G05.0 *
encephalitis|G05.0 *
encephalomyelitis|G05.0 *
hjernebetennelse|G05.0 *
myelitis|G05.0 *
ryggmargsbetennelse|G05.0 *
Encefalitt, myelitt og encefalomyelitt ved virussykdommer klassifisert annet sted|G05.1 *
betennelse i hjerne|G05.1 *
betennelse i hjerne og ryggmarg|G05.1 *
encephalitis|G05.1 *
encephalomyelitis|G05.1 *
hjernebetennelse|G05.1 *
myelitis|G05.1 *
ryggmargsbetennelse|G05.1 *
Encefalitt, myelitt og encefalomyelitt ved andre infeksjons- og parasittsykdommer klassifisert annet sted|G05.2 *
betennelse i hjerne|G05.2 *
betennelse i hjerne og ryggmarg|G05.2 *
encephalitis|G05.2 *
encephalomyelitis|G05.2 *
hjernebetennelse|G05.2 *
myelitis|G05.2 *
ryggmargsbetennelse|G05.2 *
Encefalitt, myelitt og encefalomyelitt ved andre sykdommer klassifisert annet sted|G05.8 *
betennelse i hjerne|G05.8 *
betennelse i hjerne og ryggmarg|G05.8 *
encephalitis|G05.8 *
encephalomyelitis|G05.8 *
hjernebetennelse|G05.8 *
myelitis|G05.8 *
ryggmargsbetennelse|G05.8 *
Intrakraniell og intraspinal abscess og granulom|G06
Intrakraniell abscess og granulom|G06.0
abscess i hjerne|G06.0
cerebral abscess|G06.0
hjerneabscess|G06.0
Intraspinal abscess og granulom|G06.1
Uspesifisert ekstradural og subdural abscess|G06.2
epidural abscess|G06.2
Intrakraniell og intraspinal abscess og granulom ved sykdommer klassifisert annet sted|G07 *
Intrakraniell og intraspinal flebitt og tromboflebitt|G08
cerebral venetrombose|G08
cerebral venøs trombose|G08
phlebitis|G08
sinustrombose|G08
sinusvenetrombose|G08
Følgetilstander (sequelae) etter betennelsessykdommer i sentralnervesystemet|G09
sekveler|G09
senfølge|G09
sequele|G09
Huntingtons sykdom|G10
chorea huntington|G10
huntingtons chorea|G10
huntingtons sykdom|G10
morbus huntington|G10
setesdalsrykkja|G10
Systemiske atrofier som primært rammer sentralnervesystemet|G10-G14
svinn|G10-G14
Arvelig ataksi (ataxia hereditaria)|G11
ataxi|G11
hereditær|G11
Medfødt ikke-progressiv ataksi|G11.0
ataxi|G11.0
congenitt|G11.0
kongenitt|G11.0
Cerebellar ataksi med tidlig debut|G11.1
ataxi|G11.1
frda|G11.1
friedreichs ataksi|G11.1
Cerebellar ataksi med sen debut|G11.2
ataxi|G11.2
Cerebellar ataksi med mangelfull DNA-reparasjon|G11.3
ataxi|G11.3
Arvelig spastisk paraplegi|G11.4
hereditær|G11.4
Annen spesifisert arvelig ataksi|G11.8
ataxi|G11.8
hereditær|G11.8
Uspesifisert arvelig ataksi|G11.9
arvelig ataksi|G11.9
arvelig cerebellar ataksi|G11.9
ataxi|G11.9
hereditær|G11.9
hereditær ataksi|G11.9
hereditær cerebellar ataksi|G11.9
Spinal muskelatrofi (atrophia musculorum progressiva) og beslektede syndromer|G12
muskelsvinn|G12
svinn|G12
Infantil spinal muskelatrofi, type I [Werdnig-Hoffmans syndrom]|G12.0
infantil spinal muskelatrofi|G12.0
muskelsvinn|G12.0
spinal muskelatrofi type i|G12.0
svinn|G12.0
werdnig-hoffmans sykdom|G12.0
werdnig-hoffmans syndrom|G12.0
Annen arvelig spinal muskelatrofi|G12.1
arvelig spinal muskelatofi|G12.1
hereditær|G12.1
hereditær spinal muskelatrofi|G12.1
morbus lisa welander|G12.1
muskelsvinn|G12.1
spinal muskelatrofi type iii|G12.1
svinn|G12.1
Sykdom i motoriske nevroner|G12.2
als|G12.2
alvorlig als|G12.2
alvorlig amyotrofisk lateral sklerose|G12.2
alvorlig bulbær paralyse|G12.2
alvorlig bulbærparese|G12.2
alvorlig motornevron defekt|G12.2
alvorlig motornevron sykdom|G12.2
alvorlig motornevronsykdom|G12.2
alvorlig progredierende motornevronsykdom|G12.2
alvorlig progredierende spinal muskelatrofi|G12.2
alvorlig progressiv spinal muskelatrofi|G12.2
alvorlig progressiv supranukleær degenerasjon|G12.2
alvorlig progressiv supranukleær paralyse|G12.2
alvorlig progressiv supranukleær parese|G12.2
alvorlig pseudobulbær paralyse|G12.2
alvorlig pseudobulbær parese|G12.2
alvorlig pseudobulbært syndrom|G12.2
alvorlig psp|G12.2
alvorlig supranukleær paralyse|G12.2
alvorlig supranukleær parese|G12.2
amyotrofisk lateral sklerose|G12.2
amyotrofisk lateralsklerose|G12.2
bulbær paralyse|G12.2
bulbær parese|G12.2
bulbærparese|G12.2
motornevron defekt|G12.2
motornevron sykdom|G12.2
motornevronsykdom|G12.2
neuro|G12.2
neuron|G12.2
primær lateral sklerose|G12.2
progredierende motornevronsykdom|G12.2
progredierende spinal muskelatrofi|G12.2
progressiv bulbær parese|G12.2
progressiv bulbærparese|G12.2
progressiv motornevronsykdom|G12.2
progressiv spinal muskelatrofi|G12.2
progressiv supranukleær degenerasjon|G12.2
progressiv supranukleær paralyse|G12.2
progressiv supranukleær parese|G12.2
pseudobulbær paralyse|G12.2
pseudobulbært syndrom|G12.2
psp|G12.2
spinal muskelatrofi|G12.2
supranukleær paralyse|G12.2
supranukleær parese|G12.2
Annen spesifisert spinal muskelatrofi og beslektede syndromer|G12.8
muskelsvinn|G12.8
svinn|G12.8
Uspesifisert spinal muskelatrofi|G12.9
muskelsvinn|G12.9
svinn|G12.9
Sekundære atrofier som hovedsakelig affiserer sentralnervesystemet ved sykdommer klassifisert annet sted|G13 *
svinn|G13 *
Paraneoplastisk nevromyopati  og nevropati|G13.0 *
neurinoma|G13.0 *
neuro|G13.0 *
neuropati|G13.0 *
Annen sekundær atrofi i sentralnervesystemet ved neoplastisk sykdom|G13.1 *
svinn|G13.1 *
Sekundær atrofi i sentralnervesystemet ved myksødem (E00.1†, E03.-†)|G13.2 *
myxødem|G13.2 *
svinn|G13.2 *
Sekundær atrofi i sentralnervesystemet ved andre sykdommer klassifisert annet sted|G13.8 *
svinn|G13.8 *
Postpoliosyndrom|G14
Parkinsons sykdom|G20
Ekstrapyramidale tilstander og bevegelsesforstyrrelser|G20-G26
Sekundær parkinsonisme|G21
Malignt nevroleptika-syndrom|G21.0
malignt nevroleptika-syndrom|G21.0
malignt nevroleptikasyndrom|G21.0
neuro|G21.0
neuroleptika|G21.0
Annen legemiddelutløst sekundær parkinsonisme|G21.1
medikament|G21.1
Sekundær parkinsonisme som har andre ytre årsaker|G21.2
Parkinsonisme etter encefalitt|G21.3
betennelse i hjerne|G21.3
encephalitis|G21.3
hjernebetennelse|G21.3
Vaskulær parkinsonisme|G21.4
Annen spesifisert sekundær parkinsonisme|G21.8
Uspesifisert sekundær parkinsonisme|G21.9
sekundær parkinsonisme|G21.9
Parkinsonisme ved sykdommer klassifisert annet sted|G22 *
Andre degenerative sykdommer i basalganglier|G23
Hallervorden-Spatz&#39; sykdom|G23.0
hallervorden spatz sykdom|G23.0
Progressiv supranukleær oftalmoplegi [Steele-Richardson-Olszewskis syndrom]|G23.1
progressiv supranukleær oftalmopati|G23.1
progressiv supranukleær oftalmoplegi|G23.1
steele-richardson-olszewskis syndrom|G23.1
Striatonigral degenerasjon|G23.2
Andre spesifiserte degenerative sykdommer i basalganglier|G23.8
multippel systematrofi|G23.8
olivopontocerebellar atrofi|G23.8
olivopontocerebellar degenerasjon|G23.8
parkinson pluss|G23.8
Uspesifisert degenerativ sykdom i basalganglier|G23.9
degenerativ sykdom basal ganglie|G23.9
progredierende degenerativ basalgangliesykdom|G23.9
Dystoni|G24
Legemiddelutløst dystoni|G24.0
medikament|G24.0
Idiopatisk familiær dystoni|G24.1
Idiopatisk ikke-familiær dystoni|G24.2
Torticollis som skyldes spasmer|G24.3
Idiopatisk orofacial dystoni|G24.4
Blefarospasme|G24.5
Annen spesifisert dystoni|G24.8
Uspesifisert dystoni|G24.9
Andre ekstrapyramidale tilstander og bevegelsesforstyrrelser|G25
Essensiell tremor|G25.0
essensiell tremor|G25.0
familiær tremor|G25.0
hereditær tremor|G25.0
Legemiddelutløst tremor|G25.1
medikament|G25.1
Andre spesifiserte former for tremor|G25.2
intensjonstremor|G25.2
Myoklonus|G25.3
muskelrykning|G25.3
Legemiddelutløst chorea|G25.4
medikament|G25.4
Annen chorea|G25.5
Legemiddelutløste «tics»  og andre «tics» med organisk opprinnelse|G25.6
medikament|G25.6
trekninger|G25.6
Andre spesifiserte ekstrapyramidale tilstander og bevegelsesforstyrrelser|G25.8
levine-critchley syndrom|G25.8
nevroacantocytose|G25.8
restless legs|G25.8
stiffness syndrome|G25.8
Uspesifisert ekstrapyramidal tilstand og bevegelsesforstyrrelse|G25.9
ekstrapyramidal sykdom|G25.9
Ekstrapyramidale tilstander og bevegelsesforstyrrelser ved sykdommer klassifisert annet sted|G26 *
Alzheimers sykdom|G30
Andre degenerative sykdommer i sentralnervesystemet|G30-G32
Alzheimers sykdom med tidlig debut|G30.0
alzheimer type 2|G30.0
alzheimers sykdom type 2|G30.0
morbus alzheimer type 2|G30.0
presenil demens alzheimertype|G30.0
presenildemens alzheimertype|G30.0
Alzheimers sykdom med sen debut|G30.1
alzheimers sykdom type 1|G30.1
senil demens alzheimer type|G30.1
senil demens alzheimers type|G30.1
senil demens alzheimerstype|G30.1
senil demens alzheimertype|G30.1
senildemens alzheimers type|G30.1
senildemens alzheimerstype|G30.1
Annen spesifisert Alzheimers sykdom|G30.8
atypisk alzheimertype|G30.8
blandet alzheimertype|G30.8
Uspesifisert Alzheimers sykdom|G30.9
altzheimers demens|G30.9
alzheimer|G30.9
alzheimer demens|G30.9
alzheimer demenssykdom|G30.9
alzheimerdemens|G30.9
alzheimers demens|G30.9
alzheimers sykdom|G30.9
alzheimersdemens|G30.9
alzheimerssykdom|G30.9
alzheimertype|G30.9
demens alzheimer type|G30.9
demens alzheimers type|G30.9
demens alzheimertype|G30.9
demenssykdom alzheimertype|G30.9
m alzheimer|G30.9
mb alzheimer|G30.9
morbus altzheimer|G30.9
morbus alzheimer|G30.9
morbus alzheimers|G30.9
progredierende demens alzheimertype|G30.9
Andre degenerative sykdommer i sentralnervesystemet, ikke klassifisert annet sted|G31
Lokalisert hjerneatrofi|G31.0
hjernesvinn|G31.0
lokalisert hjerneatrofi|G31.0
morbus pick|G31.0
svinn|G31.0
Senil hjernedegenerasjon, ikke klassifisert annet sted|G31.1
senil hjerneatrofi|G31.1
senil hjernedegenerasjon|G31.1
Degenerasjon av sentralnervesystemet som skyldes alkohol|G31.2
alkoholbetinget hjerneskade|G31.2
alkoholisk hjernedegenerasjon|G31.2
Andre spesifiserte degenerative sykdommer i sentralnervesystemet|G31.8
alpers sykdom|G31.8
leighs sykdom|G31.8
lewy body demens|G31.8
lewy legeme demens|G31.8
pndc|G31.8
Uspesifisert degenerativ sykdom i sentralnervesystemet|G31.9
atrofi cerebri|G31.9
atrofi i cortex|G31.9
atrofi i frontallapp|G31.9
cerebellar atrofi|G31.9
cerebellar degenerasjon|G31.9
cerebral atrofi|G31.9
cerebral degenerasjon|G31.9
degeneratio cerebri|G31.9
degenerativ encefalopati|G31.9
degenerativ hjernesykdom|G31.9
degenerativ nervesykdom|G31.9
hjerneatrofi|G31.9
hjernedegenerasjon|G31.9
hjernesvinn|G31.9
kortikal atrofi|G31.9
kortikal sentral atrofi|G31.9
lillehjerneatrofi|G31.9
progredierende degenerativ nervesykdom|G31.9
progredierende multippel systematrofi i hjerne|G31.9
progressiv degenerativ hjernesykdom|G31.9
Andre degenerative tilstander i sentralnervesystemet ved sykdommer klassifisert annet sted|G32 *
Subakutt kombinert degenerasjon av ryggmarg ved sykdommer klassifisert annet sted|G32.0 *
Andre spesifiserte degenerative tilstander i sentralnervesystemet ved sykdommer klassifisert annet sted|G32.8 *
Multippel sklerose (MS)|G35
alvorlig ms|G35
alvorlig multipel sklerose|G35
alvorlig multippel sklerose|G35
alvorlig multippelsklerose|G35
alvorlig sclerosis disseminata|G35
ms|G35
sclerose|G35
sclerosis|G35
sclerosis multiplex|G35
Demyeliniserende sykdommer i sentralnervesystemet|G35-G37
Annen akutt disseminert demyelinisering|G36
Neuromyelitis optica[Devics syndrom]|G36.0
nevro|G36.0
Akutt og subakutt hemoragisk leukoencefalitt [Hursts sykdom]|G36.1
betennelse i hjerne|G36.1
encephalitis|G36.1
haemorrhagisk|G36.1
hemorragisk|G36.1
hemorrhagisk|G36.1
hjernebetennelse|G36.1
Annen spesifisert akutt disseminert demyelinisering|G36.8
Uspesifisert akutt disseminert demyelinisering|G36.9
Andre demyeliniserende sykdommer i sentralnervesystemet|G37
Diffus sklerose|G37.0
sclerose|G37.0
sclerosis|G37.0
Sentral demyelinisering av corpus callosum|G37.1
hjernebjelke|G37.1
Sentral pontin myelinolyse|G37.2
Akutt tverrsnittsmyelitt ved demyeliniserende sykdommer i sentralnervesystemet|G37.3
myelitis|G37.3
ryggmargsbetennelse|G37.3
Subakutt nekrotiserende myelitt|G37.4
myelitis|G37.4
ryggmargsbetennelse|G37.4
Konsentrisk sklerose [Balós sykdom]|G37.5
sclerose|G37.5
sclerosis|G37.5
Andre spesifiserte demyeliniserende sykdommer i sentralnervesystemet|G37.8
Uspesifisert demyeliniserende sykdom i sentralnervesystemet|G37.9
demyeliniserende sykdom|G37.9
Epilepsi|G40
Episodiske tilstander og anfallsvise  forstyrrelser|G40-G47
Lokalisasjonsrelatert (fokal/partiell) idiopatisk epilepsi og epileptiske syndromer med anfall med fokal start|G40.0
Lokalisasjonsrelatert (fokal/partiell) symptomatisk epilepsi og epileptiske syndromer med enkle partielle anfall (EPA)|G40.1
enkle partielle anfall|G40.1
epilepsi jacksontype|G40.1
fokal epilepsi|G40.1
jackson-anfall|G40.1
jackson-epilepsi|G40.1
partiell enkel epilepsi|G40.1
Lokalisasjonsrelatert (fokal/partiell) symptomatisk epilepsi og epileptiske syndromer med komplekse partielle anfall (KPA)|G40.2
partiell kompleks epilepsi|G40.2
temporallappsepilepsi|G40.2
Generalisert idiopatisk epilepsi og epileptiske syndromer|G40.3
Annen generalisert epilepsi og epileptiske syndromer|G40.4
lennox-gastauts syndrom|G40.4
Spesielle epileptiske syndromer|G40.5
Uspesifisert epilepsi med tonisk-kloniske anfall (med eller uten absenser)|G40.6
absence|G40.6
epilepsi grand mal|G40.6
generalisert epilepsi|G40.6
grand mal anfall|G40.6
grand mal-anfall|G40.6
tonisk-kloniske kramper|G40.6
Uspesifisert epilepsi med absenser , uten tonisk-kloniske anfall|G40.7
absence|G40.7
grand mal-anfall|G40.7
Annen spesifisert epilepsi|G40.8
Uspesifisert epilepsi|G40.9
apoplektisk epilepsi|G40.9
epilepsi|G40.9
epilepsianfall|G40.9
epileptisk anfall|G40.9
epileptisk krampeanfall|G40.9
epileptiske anfall|G40.9
postapoplektisk epilepsi|G40.9
postinfarkt epilepsi|G40.9
postinfarktepilepsi|G40.9
sekundær epilepsi|G40.9
Status epileptikus|G41
Tonisk-klonisk status epileptikus|G41.0
tonisk-kloniske anfall|G41.0
Absens-status|G41.1
absence|G41.1
Kompleks partiell status epileptikus|G41.2
Annen spesifisert status epileptikus|G41.8
Uspesifisert status epileptikus|G41.9
status epilepticus|G41.9
status epileptikus|G41.9
Migrene|G43
grein|G43
Migrene uten aura [vanlig migrene]|G43.0
grein|G43.0
Migrene med aura [klassisk migrene]|G43.1
grein|G43.1
migrene klassisk|G43.1
Status migrainosus|G43.2
Komplisert migrene|G43.3
grein|G43.3
Annen spesifisert migrene|G43.8
grein|G43.8
Uspesifisert migrene|G43.9
grein|G43.9
migrene|G43.9
Andre hodepinesyndromer|G44
Cluster-hodepinesyndrom|G44.0
Vaskulær hodepine, ikke klassifisert annet sted|G44.1
Tensjonshodepine|G44.2
Kronisk posttraumatisk hodepine|G44.3
Legemiddelutløst hodepine, ikke klassifisert annet sted|G44.4
medikament|G44.4
Andre spesifiserte hodepinesyndromer|G44.8
Forbigående cerebrale iskemiske anfall  og beslektede syndromer|G45
kortvarig|G45
rind|G45
Arteria vertebralis-basilaris-syndrom|G45.0
halsvirvelarterie|G45.0
Carotissyndrom  (hemisfærisk)|G45.1
Flere og dobbeltsidige precerebral arterie-syndromer|G45.2
bilateral|G45.2
Amaurosis fugax|G45.3
amaurosis fugax|G45.3
Forbigående  global amnesi|G45.4
kortvarig|G45.4
Andre spesifiserte forbigående cerebrale iskemiske anfall og beslektede syndromer|G45.8
kortvarig|G45.8
Uspesifisert forbigående cerebralt iskemisk anfall|G45.9
forbigående cerebral iskemi|G45.9
kortvarig|G45.9
rind|G45.9
rind-attakk|G45.9
tia|G45.9
tia anfall|G45.9
tia attakk|G45.9
transistorisk cerebral iskemi|G45.9
transistorisk cerebral sirkulasjonsforstyrrelse|G45.9
transistorisk iskemisk attakk|G45.9
Syndromer som skyldes hjernekarsykdom (I60-I67†)|G46 *
cerebrovaskulær sykdom|G46 *
cvs|G46 *
Arteria cerebri media-syndrom (I66.0†)|G46.0 *
cvs|G46.0 *
Arteria cerebri anterior-syndrom (I66.1†)|G46.1 *
cvs|G46.1 *
Arteria cerebri posterior-syndrom (I66.2†)|G46.2 *
cvs|G46.2 *
Syndrom som skyldes hjernestammeslag (I60-I67†)|G46.3 *
cvs|G46.3 *
Syndrom som skyldes cerebellart slag (I60-I67†)|G46.4 *
cvs|G46.4 *
Rent motorisk lakunært syndrom (I60-I67†)|G46.5 *
cvs|G46.5 *
Rent sensorisk lakunært syndrom (I60-I67†)|G46.6 *
cvs|G46.6 *
Annet lakunært syndrom (I60-I67†)|G46.7 *
cvs|G46.7 *
Andre spesifiserte syndromer som skyldes hjernekarsykdom (I60-I67†)|G46.8 *
cerebrovaskulær sykdom|G46.8 *
cvs|G46.8 *
Søvnforstyrrelser|G47
Innsovnings- og søvnforstyrrelser [insomni]|G47.0
Eksessiv somnolens [hypersomni]|G47.1
Forstyrrelser i søvn-våkenhetsrytmen|G47.2
Søvnapné|G47.3
søvnapne|G47.3
søvnapne syndrom|G47.3
Narkolepsi og katapleksi|G47.4
narkolepsi|G47.4
Andre spesifiserte søvnforstyrrelser|G47.8
Uspesifisert søvnforstyrrelse|G47.9
Sykdommer i nervus trigeminus[5. hjernenerve]|G50
Sykdommer i nerver, nerverøtter og nervepleksus|G50-G59
Trigeminusnevralgi|G50.0
neuralgi|G50.0
sekundær trigeminusnevralgi|G50.0
trigeminusnevralgi|G50.0
Atypisk ansiktssmerte|G50.1
Andre spesifiserte sykdommer i nervus trigeminus[5. hjernenerve]|G50.8
Uspesifisert sykdom i nervus trigeminus[5. hjernenerve]|G50.9
Sykdommer i nervus facialis[7. hjernenerve]|G51
Bells parese|G51.0
bells parese|G51.0
facialisparese|G51.0
partiell facialisparese|G51.0
sentral facialisparese|G51.0
Geniculumganglionitt|G51.1
Melkerssons syndrom|G51.2
Klonisk hemifacial spasme|G51.3
Facial myokymi|G51.4
Andre spesifiserte sykdommer i nervus facialis[7.hjernenerve]|G51.8
